Item,Element,Unit,Y2014
"Anise, badian, fennel, coriander",Yield,hg/ha,726228
"Anise, badian, fennel, coriander",Production,tonnes,8042
Apples,Area harvested,ha,584000
Apples,Yield,hg/ha,313040
Apples,Production,tonnes,79788
Apricots,Area harvested,ha,2497680
Apricots,Yield,hg/ha,5000
Apricots,Production,tonnes,27998
Areca nuts,Area harvested,ha,13999
Areca nuts,Yield,hg/ha,452000
Areca nuts,Production,tonnes,13761
Bananas,Area harvested,ha,622000
Bananas,Yield,hg/ha,802570
Bananas,Production,tonnes,370367
Barley,Area harvested,ha,29724550
Barley,Yield,hg/ha,672000
Barley,Production,tonnes,27232
Barley,Seed,tonnes,1830000
"Bastfibres, other",Area harvested,ha,
"Bastfibres, other",Yield,hg/ha,87496
"Bastfibres, other",Production,tonnes,11819
"Beans, dry",Area harvested,ha,103412
"Beans, dry",Yield,hg/ha,10000000
"Beans, dry",Production,tonnes,4110
"Beans, dry",Seed,tonnes,4110000
"Beans, green",Area harvested,ha,
"Beans, green",Yield,hg/ha,225727
"Beans, green",Production,tonnes,28180
Berries nes,Area harvested,ha,636103
Berries nes,Yield,hg/ha,300
Berries nes,Production,tonnes,71479
Cabbages and other brassicas,Area harvested,ha,2144
Cabbages and other brassicas,Yield,hg/ha,400140
Cabbages and other brassicas,Production,tonnes,225901
Carrots and turnips,Area harvested,ha,9039220
Carrots and turnips,Yield,hg/ha,34665
Carrots and turnips,Production,tonnes,153529
"Cashew nuts, with shell",Area harvested,ha,532201
"Cashew nuts, with shell",Yield,hg/ha,1011000
"Cashew nuts, with shell",Production,tonnes,7448
Cassava,Area harvested,ha,753000
Cassava,Yield,hg/ha,228280
Cassava,Production,tonnes,356555
Castor oil seed,Area harvested,ha,8139430
Castor oil seed,Yield,hg/ha,1040000
Castor oil seed,Production,tonnes,16663
Castor oil seed,Seed,tonnes,1733000
Cauliflowers and broccoli,Area harvested,ha,
Cauliflowers and broccoli,Yield,hg/ha,433870
Cauliflowers and broccoli,Production,tonnes,197600
Cherries,Area harvested,ha,8573280
Cherries,Yield,hg/ha,3500
Cherries,Production,tonnes,29202
Chick peas,Area harvested,ha,10221
Chick peas,Yield,hg/ha,9927000
Chick peas,Production,tonnes,9953
Chick peas,Seed,tonnes,9880000
"Chillies and peppers, dry",Area harvested,ha,
"Chillies and peppers, dry",Yield,hg/ha,775000
"Chillies and peppers, dry",Production,tonnes,19252
"Chillies and peppers, green",Area harvested,ha,1492000
"Chillies and peppers, green",Yield,hg/ha,8074
"Chillies and peppers, green",Production,tonnes,84916
"Cocoa, beans",Area harvested,ha,68564
"Cocoa, beans",Yield,hg/ha,71000
"Cocoa, beans",Production,tonnes,2113
Coconuts,Area harvested,ha,15000
Coconuts,Yield,hg/ha,2140000
Coconuts,Production,tonnes,51770
"Coffee, green",Area harvested,ha,11078873
"Coffee, green",Yield,hg/ha,381304
"Coffee, green",Production,tonnes,7986
Coir,Area harvested,ha,304500
Coir,Production,tonnes,
Cotton lint,Production,tonnes,544300
Cottonseed,Production,tonnes,6188000
Cottonseed,Seed,tonnes,12300000
Cucumbers and gherkins,Area harvested,ha,
Cucumbers and gherkins,Yield,hg/ha,26982
Cucumbers and gherkins,Production,tonnes,63412
Eggplants (aubergines),Area harvested,ha,171100
Eggplants (aubergines),Yield,hg/ha,711310
Eggplants (aubergines),Production,tonnes,190604
Figs,Area harvested,ha,13557820
Figs,Yield,hg/ha,5600
Figs,Production,tonnes,24646
"Fruit, citrus nes",Area harvested,ha,13802
"Fruit, citrus nes",Yield,hg/ha,57000
"Fruit, citrus nes",Production,tonnes,130789
"Fruit, fresh nes",Area harvested,ha,745500
"Fruit, fresh nes",Yield,hg/ha,1484000
"Fruit, fresh nes",Production,tonnes,66523
"Fruit, stone nes",Area harvested,ha,9872000
"Fruit, stone nes",Yield,hg/ha,600
"Fruit, stone nes",Production,tonnes,35459
"Fruit, tropical fresh nes",Area harvested,ha,2128
"Fruit, tropical fresh nes",Yield,hg/ha,529350
"Fruit, tropical fresh nes",Production,tonnes,113299
Garlic,Area harvested,ha,5997490
Garlic,Yield,hg/ha,231000
Garlic,Production,tonnes,54199
Ginger,Area harvested,ha,1252000
Ginger,Yield,hg/ha,133000
Ginger,Production,tonnes,49248
Grapefruit (inc. pomelos),Area harvested,ha,655000
Grapefruit (inc. pomelos),Yield,hg/ha,10671
Grapefruit (inc. pomelos),Production,tonnes,232880
Grapes,Area harvested,ha,248500
Grapes,Yield,hg/ha,118740
Grapes,Production,tonnes,217731
"Groundnuts, with shell",Area harvested,ha,2585340
"Groundnuts, with shell",Yield,hg/ha,4685000
"Groundnuts, with shell",Production,tonnes,13996
"Groundnuts, with shell",Seed,tonnes,6557000
Hemp tow waste,Area harvested,ha,
Hemp tow waste,Production,tonnes,
Jute,Area harvested,ha,
Jute,Yield,hg/ha,741000
Jute,Production,tonnes,26559
Lemons and limes,Area harvested,ha,1968000
Lemons and limes,Yield,hg/ha,286410
Lemons and limes,Production,tonnes,98985
Lentils,Area harvested,ha,2835020
Lentils,Yield,hg/ha,1800000
Lentils,Production,tonnes,6111
Lentils,Seed,tonnes,1100000
Lettuce and chicory,Area harvested,ha,
Lettuce and chicory,Yield,hg/ha,172432
Lettuce and chicory,Production,tonnes,63625
Linseed,Area harvested,ha,1097102
Linseed,Yield,hg/ha,284000
Linseed,Production,tonnes,4965
Linseed,Seed,tonnes,141000
Maize,Area harvested,ha,
Maize,Yield,hg/ha,9258000
Maize,Production,tonnes,25567
Maize,Seed,tonnes,23670000
"Mangoes, mangosteens, guavas",Area harvested,ha,
"Mangoes, mangosteens, guavas",Yield,hg/ha,2515970
"Mangoes, mangosteens, guavas",Production,tonnes,73257
"Melons, other (inc.cantaloupes)",Area harvested,ha,18431330
"Melons, other (inc.cantaloupes)",Yield,hg/ha,46264
"Melons, other (inc.cantaloupes)",Production,tonnes,223500
Millet,Area harvested,ha,1034008
Millet,Yield,hg/ha,8904000
Millet,Production,tonnes,12826
Millet,Seed,tonnes,11420000
Mushrooms and truffles,Production,tonnes,
"Nutmeg, mace and cardamoms",Area harvested,ha,28000
"Nutmeg, mace and cardamoms",Yield,hg/ha,93000
"Nutmeg, mace and cardamoms",Production,tonnes,2258
Oilseeds nes,Area harvested,ha,21000
Oilseeds nes,Yield,hg/ha,230000
Oilseeds nes,Production,tonnes,3174
Okra,Area harvested,ha,73000
Okra,Yield,hg/ha,532660
Okra,Production,tonnes,119145
"Onions, dry",Area harvested,ha,6346370
"Onions, dry",Yield,hg/ha,1203570
"Onions, dry",Production,tonnes,161201
Oranges,Area harvested,ha,19401680
Oranges,Yield,hg/ha,664910
Oranges,Production,tonnes,110054
Papayas,Area harvested,ha,7317610
Papayas,Yield,hg/ha,133360
Papayas,Production,tonnes,422863
Peaches and nectarines,Area harvested,ha,5639300
Peaches and nectarines,Yield,hg/ha,37800
Peaches and nectarines,Production,tonnes,68783
Pears,Area harvested,ha,260000
Pears,Yield,hg/ha,42280
Pears,Production,tonnes,74905
"Peas, dry",Area harvested,ha,316700
"Peas, dry",Yield,hg/ha,730000
"Peas, dry",Production,tonnes,8219
"Peas, dry",Seed,tonnes,600000
"Peas, green",Area harvested,ha,
"Peas, green",Yield,hg/ha,433560
"Peas, green",Production,tonnes,89229
Pepper (piper spp.),Area harvested,ha,3868630
Pepper (piper spp.),Yield,hg/ha,124000
Pepper (piper spp.),Production,tonnes,4113
Pigeon peas,Area harvested,ha,51000
Pigeon peas,Yield,hg/ha,5602000
Pigeon peas,Production,tonnes,5873
Pigeon peas,Seed,tonnes,3290000
Pineapples,Area harvested,ha,
Pineapples,Yield,hg/ha,109880
Pineapples,Production,tonnes,158058
Plums and sloes,Area harvested,ha,1736740
Plums and sloes,Yield,hg/ha,27600
Plums and sloes,Production,tonnes,81522
Poppy seed,Area harvested,ha,225000
Poppy seed,Production,tonnes,
Potatoes,Area harvested,ha,
Potatoes,Yield,hg/ha,2024000
Potatoes,Production,tonnes,229224
Potatoes,Seed,tonnes,46395000
"Pulses, nes",Area harvested,ha,
"Pulses, nes",Yield,hg/ha,2250000
"Pulses, nes",Production,tonnes,4444
"Pulses, nes",Seed,tonnes,1000000
"Pumpkins, squash and gourds",Area harvested,ha,
"Pumpkins, squash and gourds",Yield,hg/ha,519159
"Pumpkins, squash and gourds",Production,tonnes,96062
Rapeseed,Area harvested,ha,4987123
Rapeseed,Yield,hg/ha,6645740
Rapeseed,Production,tonnes,11853
Rapeseed,Seed,tonnes,7877000
"Rice, paddy",Area harvested,ha,
"Rice, paddy",Yield,hg/ha,43855000
"Rice, paddy",Production,tonnes,35845
"Rice, paddy",Seed,tonnes,157200000
"Rubber, natural",Area harvested,ha,
"Rubber, natural",Yield,hg/ha,455000
"Rubber, natural",Production,tonnes,20659
Safflower seed,Area harvested,ha,940000
Safflower seed,Yield,hg/ha,211000
Safflower seed,Production,tonnes,5355
Safflower seed,Seed,tonnes,113000
Seed cotton,Area harvested,ha,
Seed cotton,Yield,hg/ha,13083000
Seed cotton,Production,tonnes,15950
Sesame seed,Area harvested,ha,20867647
Sesame seed,Yield,hg/ha,1778000
Sesame seed,Production,tonnes,4561
Sesame seed,Seed,tonnes,811000
Sorghum,Area harvested,ha,
Sorghum,Yield,hg/ha,5820000
Sorghum,Production,tonnes,9261
Sorghum,Seed,tonnes,5390000
Soybeans,Area harvested,ha,
Soybeans,Yield,hg/ha,10908000
Soybeans,Production,tonnes,9652
Soybeans,Seed,tonnes,10528000
"Spices, nes",Area harvested,ha,
"Spices, nes",Yield,hg/ha,680000
"Spices, nes",Production,tonnes,22118
Sugar cane,Area harvested,ha,1504000
Sugar cane,Yield,hg/ha,5012000
Sugar cane,Production,tonnes,702598
Sugar cane,Seed,tonnes,352142000
Sunflower seed,Area harvested,ha,
Sunflower seed,Yield,hg/ha,552000
Sunflower seed,Production,tonnes,7518
Sunflower seed,Seed,tonnes,415000
Sweet potatoes,Area harvested,ha,
Sweet potatoes,Yield,hg/ha,105870
Sweet potatoes,Production,tonnes,102756
Tea,Area harvested,ha,1087880
Tea,Yield,hg/ha,604000
Tea,Production,tonnes,19989
"Tobacco, unmanufactured",Area harvested,ha,1207310
"Tobacco, unmanufactured",Yield,hg/ha,432679
"Tobacco, unmanufactured",Production,tonnes,16657
Tomatoes,Area harvested,ha,720725
Tomatoes,Yield,hg/ha,882030
Tomatoes,Production,tonnes,212418
"Vegetables, fresh nes",Area harvested,ha,18735910
"Vegetables, fresh nes",Yield,hg/ha,2623000
"Vegetables, fresh nes",Production,tonnes,140442
"Walnuts, with shell",Area harvested,ha,36838000
"Walnuts, with shell",Yield,hg/ha,31000
"Walnuts, with shell",Production,tonnes,13871
Watermelons,Area harvested,ha,43000
Watermelons,Yield,hg/ha,29253
Watermelons,Production,tonnes,140688
Wheat,Area harvested,ha,411547
Wheat,Yield,hg/ha,30470000
Wheat,Production,tonnes,31457
Wheat,Seed,tonnes,95850000
Cereals (Rice Milled Eqv),Area harvested,ha,
Cereals (Rice Milled Eqv),Yield,hg/ha,98979000
Cereals (Rice Milled Eqv),Production,tonnes,24552
Cereals (Rice Milled Eqv),Seed,tonnes,243012399
"Cereals,Total",Area harvested,ha,
"Cereals,Total",Yield,hg/ha,98979000
"Cereals,Total",Production,tonnes,29841
"Cereals,Total",Seed,tonnes,295360000
"Citrus Fruit,Total",Area harvested,ha,
"Citrus Fruit,Total",Yield,hg/ha,1018991
"Citrus Fruit,Total",Production,tonnes,109389
"Coarse Grain, Total",Area harvested,ha,11146630
"Coarse Grain, Total",Yield,hg/ha,24654000
"Coarse Grain, Total",Production,tonnes,17162
"Coarse Grain, Total",Seed,tonnes,42310000
Fibre Crops Primary,Area harvested,ha,
Fibre Crops Primary,Yield,hg/ha,13911496
Fibre Crops Primary,Production,tonnes,5937
"Fruit excl Melons,Total",Area harvested,ha,8259412
"Fruit excl Melons,Total",Yield,hg/ha,7148581
"Fruit excl Melons,Total",Production,tonnes,123766
Jute & Jute-like Fibres,Area harvested,ha,88475053
Jute & Jute-like Fibres,Yield,hg/ha,828496
Jute & Jute-like Fibres,Production,tonnes,25002
Oilcakes Equivalent,Area harvested,ha,2071412
Oilcakes Equivalent,Yield,hg/ha,40516740
Oilcakes Equivalent,Production,tonnes,5802
Oilcakes Equivalent,Seed,tonnes,23506770
Oilcrops Primary,Area harvested,ha,
Oilcrops Primary,Yield,hg/ha,41556740
Oilcrops Primary,Production,tonnes,2788
Oilcrops Primary,Seed,tonnes,11586533
"Pulses,Total",Area harvested,ha,
"Pulses,Total",Yield,hg/ha,30309000
"Pulses,Total",Production,tonnes,6592
"Pulses,Total",Seed,tonnes,19980000
"Roots and Tubers,Total",Area harvested,ha,
"Roots and Tubers,Total",Yield,hg/ha,2358150
"Roots and Tubers,Total",Production,tonnes,235873
"Roots and Tubers,Total",Seed,tonnes,55622310
"Treenuts,Total",Area harvested,ha,
"Treenuts,Total",Yield,hg/ha,1042000
"Treenuts,Total",Production,tonnes,7639
Vegetables Primary,Area harvested,ha,796000
Vegetables Primary,Yield,hg/ha,8513696
Vegetables Primary,Production,tonnes,148677
"Vegetables&Melons, Total",Area harvested,ha,126578659
"Vegetables&Melons, Total",Yield,hg/ha,8513696
"Vegetables&Melons, Total",Production,tonnes,148677
"Anise, badian, fennel, coriander",Area harvested,ha,126578659
